Temperature (C)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-56.558	5.1796	26.777	0.037345	3.5030	3.5223	22.943	42.895	85.960	975.85	-0.014430	253.37	0.17716	0.016494	0.31268	3.1982	17.286	18.943	94.138	27.691	39.992	222.78	2.6174	10.892	0.011116
-51.558	6.4017	26.365	0.037929	3.9307	3.9550	24.897	42.585	86.538	939.73	-0.012551	233.02	0.17092	0.015322	0.38302	2.6108	17.349	19.020	92.882	28.326	41.415	223.28	2.4601	11.142	0.011572
-46.558	7.8287	25.942	0.038548	4.3607	4.3908	26.818	42.292	87.278	903.68	-0.010377	214.51	0.16475	0.014167	0.46520	2.1496	17.404	19.087	91.676	29.002	43.024	223.54	2.3180	11.398	0.012058
-41.558	9.4809	25.506	0.039206	4.7936	4.8308	28.710	42.018	88.202	867.58	-0.0078553	197.64	0.15864	0.013031	0.56075	1.7833	17.453	19.143	90.511	29.723	44.853	223.55	2.1891	11.661	0.012582
-36.558	11.379	25.057	0.039909	5.2302	5.2756	30.578	41.764	89.342	831.29	-0.0049221	182.24	0.15258	0.011914	0.67141	1.4894	17.493	19.187	89.379	30.490	46.947	223.29	2.0714	11.933	0.013151
-31.558	13.545	24.592	0.040664	5.6713	5.7263	32.427	41.534	90.739	794.68	-0.0014942	168.13	0.14657	0.010819	0.79924	1.2512	17.523	19.218	88.271	31.308	49.365	222.76	1.9636	12.216	0.013773
-26.558	16.000	24.108	0.041480	6.1177	6.1840	34.261	41.331	92.449	757.54	0.0025387	155.17	0.14060	0.0097454	0.94666	1.0563	17.543	19.233	87.179	32.186	52.194	221.94	1.8642	12.513	0.014463
-21.558	18.767	23.604	0.042366	6.5706	6.6501	36.085	41.164	94.547	719.59	0.0073257	143.22	0.13466	0.0086954	1.1166	0.89556	17.551	19.232	86.093	33.141	55.560	220.82	1.7717	12.829	0.015238
-16.558	21.869	23.074	0.043338	7.0313	7.1260	37.906	41.052	97.137	680.35	0.013067	132.16	0.12874	0.0076705	1.3127	0.76177	17.545	19.211	85.004	34.187	59.627	219.37	1.6845	13.168	0.016122
-11.558	25.331	22.515	0.044414	7.5013	7.6138	39.730	41.038	100.37	639.28	0.020034	121.87	0.12283	0.0066727	1.5396	0.64952	17.523	19.169	83.901	35.329	64.619	217.58	1.6018	13.537	0.017150
-6.5580	29.177	21.921	0.045619	7.9829	8.1160	41.566	41.168	104.48	596.08	0.028603	112.23	0.11692	0.0057042	1.8032	0.55456	17.482	19.100	82.769	36.570	70.883	215.43	1.5227	13.944	0.018371
-1.5580	33.436	21.283	0.046986	8.4786	8.6357	43.424	41.463	109.86	550.87	0.039336	103.14	0.11100	0.0047681	2.1118	0.47354	17.418	19.002	81.591	37.931	79.008	212.91	1.4462	14.404	0.019863
3.4420	38.135	20.590	0.048568	8.9925	9.1777	45.319	41.904	117.17	504.11	0.053114	94.478	0.10505	0.0038679	2.4767	0.40376	17.325	18.865	80.344	39.456	90.048	209.98	1.3706	14.936	0.021748
8.4420	43.308	19.824	0.050444	9.5304	9.7488	47.274	42.457	127.65	456.15	0.071389	86.113	0.099059	0.0030085	2.9153	0.34301	17.195	18.681	78.993	41.224	106.01	206.58	1.2936	15.572	0.024235
13.442	48.990	18.957	0.052750	10.102	10.360	49.323	43.134	144.04	406.88	0.096704	77.869	0.093029	0.0021965	3.4558	0.28937	17.014	18.431	77.485	43.362	131.27	202.60	1.2119	16.366	0.027716
18.442	55.226	17.937	0.055750	10.725	11.033	51.532	44.088	173.26	354.95	0.13408	69.482	0.087053	0.0014419	4.1500	0.24096	16.755	18.086	75.721	46.130	177.40	197.82	1.1199	17.425	0.033025
23.442	62.072	16.646	0.060074	11.439	11.812	54.046	45.974	240.30	295.75	0.19615	60.444	0.081801	0.00076170	5.1154	0.19549	16.363	17.576	73.482	50.194	287.71	191.63	1.0061	19.011	0.042456
28.442	69.617	14.647	0.068275	12.390	12.865	57.404	52.771	588.61	216.72	0.33093	49.000	0.083507	0.00019439	6.7817	0.14745	15.632	16.658	69.982	58.761	869.42	180.59	0.83451	22.174	0.068411
