Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
0.0000	34.851	0.0035868	8.6680	8.8384	44.143	0.92743	1.0782	8.6366	8.8020	44.010	41.586	111.89	536.44	0.043249	100.40	0.10915	0.097647	10.241	17.393	18.964	81.211	38.385	82.068	212.04	1.4227	14.561	0.020401
1.0000	35.783	0.0029188	8.7642	8.9391	44.495	0.92138	1.0853	8.7390	8.9099	44.388	41.672	113.30	527.11	0.045931	98.663	0.10796	0.10080	9.9202	17.375	18.937	80.964	38.687	84.198	211.46	1.4076	14.666	0.020768
2.0000	36.733	0.0021706	8.8606	9.0403	44.846	0.91523	1.0926	8.8421	9.0188	44.768	41.764	114.80	517.73	0.048758	96.939	0.10677	0.10407	9.6085	17.356	18.909	80.712	38.996	86.474	210.87	1.3925	14.774	0.021154
3.0000	37.701	0.0013337	8.9574	9.1418	45.197	0.90895	1.1002	8.9462	9.1288	45.150	41.860	116.42	508.29	0.051742	95.230	0.10558	0.10746	9.3056	17.335	18.879	80.458	39.313	88.913	210.26	1.3773	14.886	0.021561
4.0000	38.688	0.00039810	9.0545	9.2437	45.548	0.90256	1.1080	9.0512	9.2399	45.534	41.960	118.15	498.81	0.054897	93.533	0.10438	0.11098	9.0110	17.313	18.847	80.199	39.640	91.534	209.62	1.3622	15.001	0.021991
5.0000	43.116	undefined	9.1182	9.3291	45.778	0.90000	1.1111	9.1182	9.3291	45.778	41.843	117.82	498.88	0.055233	92.856	0.10393	0.90000	1.1111	9.1182	9.3291	45.778	41.843	117.82	498.88	0.055233	92.856	0.10393
6.0000	49.797	undefined	9.1600	9.4035	45.927	0.90000	1.1111	9.1600	9.4035	45.927	41.624	116.18	504.62	0.053735	92.838	0.10395	0.90000	1.1111	9.1600	9.4035	45.927	41.624	116.18	504.62	0.053735	92.838	0.10395
7.0000	56.507	undefined	9.2015	9.4778	46.076	0.90000	1.1111	9.2015	9.4778	46.076	41.447	114.62	509.80	0.052317	92.822	0.10398	0.90000	1.1111	9.2015	9.4778	46.076	41.447	114.62	509.80	0.052317	92.822	0.10398
8.0000	63.239	undefined	9.2429	9.5521	46.223	0.90000	1.1111	9.2429	9.5521	46.223	41.303	113.15	514.54	0.050964	92.806	0.10402	0.90000	1.1111	9.2429	9.5521	46.223	41.303	113.15	514.54	0.050964	92.806	0.10402
9.0000	69.989	undefined	9.2841	9.6264	46.370	0.90000	1.1111	9.2841	9.6264	46.370	41.184	111.75	518.92	0.049667	92.791	0.10405	0.90000	1.1111	9.2841	9.6264	46.370	41.184	111.75	518.92	0.049667	92.791	0.10405
10.000	76.756	undefined	9.3253	9.7006	46.515	0.90000	1.1111	9.3253	9.7006	46.515	41.085	110.41	523.04	0.048417	92.776	0.10409	0.90000	1.1111	9.3253	9.7006	46.515	41.085	110.41	523.04	0.048417	92.776	0.10409
11.000	83.535	undefined	9.3663	9.7748	46.660	0.90000	1.1111	9.3663	9.7748	46.660	41.002	109.14	526.93	0.047210	92.763	0.10413	0.90000	1.1111	9.3663	9.7748	46.660	41.002	109.14	526.93	0.047210	92.763	0.10413
12.000	90.325	undefined	9.4073	9.8490	46.804	0.90000	1.1111	9.4073	9.8490	46.804	40.931	107.93	530.65	0.046041	92.750	0.10417	0.90000	1.1111	9.4073	9.8490	46.804	40.931	107.93	530.65	0.046041	92.750	0.10417
13.000	97.126	undefined	9.4482	9.9231	46.947	0.90000	1.1111	9.4482	9.9231	46.947	40.869	106.77	534.23	0.044907	92.739	0.10421	0.90000	1.1111	9.4482	9.9231	46.947	40.869	106.77	534.23	0.044907	92.739	0.10421
14.000	103.93	undefined	9.4890	9.9972	47.090	0.90000	1.1111	9.4890	9.9972	47.090	40.814	105.67	537.69	0.043806	92.728	0.10425	0.90000	1.1111	9.4890	9.9972	47.090	40.814	105.67	537.69	0.043806	92.728	0.10425
15.000	110.75	undefined	9.5298	10.071	47.231	0.90000	1.1111	9.5298	10.071	47.231	40.766	104.61	541.05	0.042735	92.717	0.10429	0.90000	1.1111	9.5298	10.071	47.231	40.766	104.61	541.05	0.042735	92.717	0.10429
16.000	117.58	undefined	9.5705	10.145	47.373	0.90000	1.1111	9.5705	10.145	47.373	40.722	103.59	544.32	0.041694	92.708	0.10434	0.90000	1.1111	9.5705	10.145	47.373	40.722	103.59	544.32	0.041694	92.708	0.10434
17.000	124.41	undefined	9.6112	10.220	47.513	0.90000	1.1111	9.6112	10.220	47.513	40.682	102.62	547.52	0.040679	92.699	0.10439	0.90000	1.1111	9.6112	10.220	47.513	40.682	102.62	547.52	0.040679	92.699	0.10439
18.000	131.24	undefined	9.6519	10.294	47.653	0.90000	1.1111	9.6519	10.294	47.653	40.646	101.69	550.65	0.039690	92.691	0.10443	0.90000	1.1111	9.6519	10.294	47.653	40.646	101.69	550.65	0.039690	92.691	0.10443
19.000	138.08	undefined	9.6925	10.368	47.792	0.90000	1.1111	9.6925	10.368	47.792	40.612	100.79	553.73	0.038725	92.684	0.10448	0.90000	1.1111	9.6925	10.368	47.792	40.612	100.79	553.73	0.038725	92.684	0.10448
20.000	144.93	undefined	9.7331	10.442	47.931	0.90000	1.1111	9.7331	10.442	47.931	40.581	99.928	556.75	0.037784	92.678	0.10453	0.90000	1.1111	9.7331	10.442	47.931	40.581	99.928	556.75	0.037784	92.678	0.10453
21.000	151.78	undefined	9.7737	10.516	48.069	0.90000	1.1111	9.7737	10.516	48.069	40.552	99.098	559.72	0.036866	92.672	0.10458	0.90000	1.1111	9.7737	10.516	48.069	40.552	99.098	559.72	0.036866	92.672	0.10458
22.000	158.64	undefined	9.8142	10.590	48.207	0.90000	1.1111	9.8142	10.590	48.207	40.524	98.298	562.65	0.035968	92.667	0.10463	0.90000	1.1111	9.8142	10.590	48.207	40.524	98.298	562.65	0.035968	92.667	0.10463
23.000	165.49	undefined	9.8547	10.664	48.344	0.90000	1.1111	9.8547	10.664	48.344	40.498	97.527	565.53	0.035091	92.663	0.10468	0.90000	1.1111	9.8547	10.664	48.344	40.498	97.527	565.53	0.035091	92.663	0.10468
24.000	172.36	undefined	9.8952	10.738	48.480	0.90000	1.1111	9.8952	10.738	48.480	40.474	96.783	568.38	0.034233	92.659	0.10473	0.90000	1.1111	9.8952	10.738	48.480	40.474	96.783	568.38	0.034233	92.659	0.10473
25.000	179.22	undefined	9.9357	10.812	48.616	0.90000	1.1111	9.9357	10.812	48.616	40.450	96.064	571.20	0.033395	92.656	0.10478	0.90000	1.1111	9.9357	10.812	48.616	40.450	96.064	571.20	0.033395	92.656	0.10478
26.000	186.09	undefined	9.9761	10.886	48.752	0.90000	1.1111	9.9761	10.886	48.752	40.427	95.369	573.98	0.032574	92.654	0.10484	0.90000	1.1111	9.9761	10.886	48.752	40.427	95.369	573.98	0.032574	92.654	0.10484
27.000	192.96	undefined	10.017	10.960	48.886	0.90000	1.1111	10.017	10.960	48.886	40.405	94.697	576.73	0.031771	92.653	0.10489	0.90000	1.1111	10.017	10.960	48.886	40.405	94.697	576.73	0.031771	92.653	0.10489
28.000	199.84	undefined	10.057	11.034	49.021	0.90000	1.1111	10.057	11.034	49.021	40.384	94.046	579.45	0.030984	92.652	0.10494	0.90000	1.1111	10.057	11.034	49.021	40.384	94.046	579.45	0.030984	92.652	0.10494
29.000	206.72	undefined	10.097	11.108	49.155	0.90000	1.1111	10.097	11.108	49.155	40.362	93.415	582.14	0.030214	92.652	0.10500	0.90000	1.1111	10.097	11.108	49.155	40.362	93.415	582.14	0.030214	92.652	0.10500
30.000	213.60	undefined	10.138	11.182	49.288	0.90000	1.1111	10.138	11.182	49.288	40.342	92.803	584.80	0.029459	92.652	0.10505	0.90000	1.1111	10.138	11.182	49.288	40.342	92.803	584.80	0.029459	92.652	0.10505
31.000	220.48	undefined	10.178	11.256	49.421	0.90000	1.1111	10.178	11.256	49.421	40.321	92.209	587.44	0.028719	92.654	0.10511	0.90000	1.1111	10.178	11.256	49.421	40.321	92.209	587.44	0.028719	92.654	0.10511
32.000	227.36	undefined	10.218	11.330	49.553	0.90000	1.1111	10.218	11.330	49.553	40.301	91.631	590.06	0.027993	92.655	0.10516	0.90000	1.1111	10.218	11.330	49.553	40.301	91.631	590.06	0.027993	92.655	0.10516
33.000	234.25	undefined	10.259	11.404	49.685	0.90000	1.1111	10.259	11.404	49.685	40.280	91.070	592.65	0.027281	92.658	0.10522	0.90000	1.1111	10.259	11.404	49.685	40.280	91.070	592.65	0.027281	92.658	0.10522
34.000	241.14	undefined	10.299	11.478	49.816	0.90000	1.1111	10.299	11.478	49.816	40.260	90.524	595.22	0.026582	92.661	0.10527	0.90000	1.1111	10.299	11.478	49.816	40.260	90.524	595.22	0.026582	92.661	0.10527
35.000	248.03	undefined	10.339	11.552	49.947	0.90000	1.1111	10.339	11.552	49.947	40.240	89.993	597.77	0.025896	92.665	0.10533	0.90000	1.1111	10.339	11.552	49.947	40.240	89.993	597.77	0.025896	92.665	0.10533
36.000	254.92	undefined	10.379	11.626	50.077	0.90000	1.1111	10.379	11.626	50.077	40.220	89.475	600.29	0.025222	92.669	0.10539	0.90000	1.1111	10.379	11.626	50.077	40.220	89.475	600.29	0.025222	92.669	0.10539
37.000	261.81	undefined	10.420	11.700	50.207	0.90000	1.1111	10.420	11.700	50.207	40.201	88.971	602.79	0.024560	92.674	0.10544	0.90000	1.1111	10.420	11.700	50.207	40.201	88.971	602.79	0.024560	92.674	0.10544
38.000	268.71	undefined	10.460	11.774	50.337	0.90000	1.1111	10.460	11.774	50.337	40.181	88.479	605.27	0.023910	92.680	0.10550	0.90000	1.1111	10.460	11.774	50.337	40.181	88.479	605.27	0.023910	92.680	0.10550
39.000	275.60	undefined	10.500	11.848	50.466	0.90000	1.1111	10.500	11.848	50.466	40.162	87.999	607.73	0.023270	92.686	0.10556	0.90000	1.1111	10.500	11.848	50.466	40.162	87.999	607.73	0.023270	92.686	0.10556
